CountryName,CountryCode,Date,PolicyType,PolicyValue,Flag,Notes
Argentina,ARG,20200123,H1: Public information campaigns,2,1,"https://www.argentina.gob.ar/noticias/tenemos-la-capacidad-de-reaccion-y-estamos-en-vigilancia-absoluta-ante-situacion-mundial-de"
Argentina,ARG,20200302,H8: Protection of elderly people,3,1,"""...the use of a surgical mask, nightgown and latex gloves in staff who care for the elderly 'is essential because the contact that is generated between a caregiver, nurse or any professional who works in a nursing home, it is narrow '""    ""As since the first week of March, the elderly living in residences have suspended visits and outings, he advised ""to maintain communication with their loved ones through video calls and virtual meetings.""    https://web.archive.org/web/20201221212558/https://www.argentina.gob.ar/noticias/recomendaciones-para-el-cuidado-de-adultos-mayores-en-instituciones-ante-casos-de-covid-19"
Argentina,ARG,20200304,H2: Testing policy,1,,"See page 5. https://web.archive.org/web/20200408152354/https://www.sadi.org.ar/boletines-y-reportes/item/913-actualizacion-epidemiologica-ministerio-de-salud-de-la-nacion "
Argentina,ARG,20200304,H3: Contact tracing,2,,"The sources cited (here and all the subsequent entries) suggest that contact tracing is being done for every confirmed case. So it can be considered as a comprehensive contact tracing. Applies to all the entries from 4 March till 12 April.  https://web.archive.org/web/20200408152354/https://www.sadi.org.ar/boletines-y-reportes/item/913-actualizacion-epidemiologica-ministerio-de-salud-de-la-nacion"
Argentina,ARG,20200305,H1: Public information campaigns,2,1,"Public campaign by the Ministry of Health with daily journals - https://www.argentina.gob.ar/coronavirus/informe-diario ; https://www.argentina.gob.ar/coronavirus/equipos-salud"
Argentina,ARG,20200305,H2: Testing policy,1,,"See page 5. https://web.archive.org/web/20200408152354/https://www.sadi.org.ar/boletines-y-reportes/item/913-actualizacion-epidemiologica-ministerio-de-salud-de-la-nacion"
Argentina,ARG,20200311,C3: Cancel public events,2,0,"Catamarca, Río Negro, Ciudad Autónoma de Buenos Aires and Buenos Aires (provinces) have decided to cancel public events. Source: https://web.archive.org/web/20200412074944/https://www.perfil.com/noticias/actualidad/coronavirus-que-eventos-se-suspenden-argentina.phtml"
Argentina,ARG,20200311,C8: International travel controls,2,,"Establishes protocols for quarantining passengers on flights arriving from countries with COVID-19     https://web.archive.org/web/20200603191306/https://www.argentina.gob.ar/noticias/nuevo-protocolo-obligatorio-para-vuelos-hacia-argentina"
Argentina,ARG,20200316,C1: School closing,3,1,"Schools close and move to online teaching.    https://web.archive.org/web/20200603190957/https://www.argentina.gob.ar/noticias/coronavirus-suspension-de-clases-presenciales-14-dias-consecutivos-partir-del-16-de-marzo"
Argentina,ARG,20200316,C8: International travel controls,4,,"  Borders close to non-residents.    https://web.archive.org/web/20200603191652/https://www.garda.com/crisis24/news-alerts/323101/argentina-authorities-close-borders-to-non-residents-march-15-30-amid-covid-19-outbreak-update-3"
Argentina,ARG,20200319,C2: Workplace closing,3,1,"Art. 2, Decree 297/2020. Measures were put in place 19/03, renewed 31/03 until 12/04 and renewed 11/04 until 26/04. Sources:     https://web.archive.org/web/20200603184437/http://servicios.infoleg.gob.ar/infolegInternet/anexos/335000-339999/335741/norma.htm    https://web.archive.org/web/20200603184530/https://www.boletinoficial.gob.ar/suplementos/2020033101NS.pdf    https://web.archive.org/web/20200603184631/https://www.boletinoficial.gob.ar/detalleAviso/primera/227694/20200411    https://web.archive.org/web/20200603184246/https://www.boletinoficial.gob.ar/detalleAviso/primera/228261/20200426"
Argentina,ARG,20200319,C4: Restrictions on gatherings,4,1,"Measures were put in place 19/03, renewed 31/03 until 12/04, renewed 11/04 until 26/04, and renewed 26/04 until 10/05. There is no explicit restriction on gatherings. However, Art. 5 of decree 297/2020 suspends activity of any place that requires the gathering of individuals. Sources: http://servicios.infoleg.gob.ar/infolegInternet/anexos/335000-339999/335741/norma.htm ***///*** https://www.boletinoficial.gob.ar/suplementos/2020033101NS.pdf ***///*** https://www.boletinoficial.gob.ar/detalleAviso/primera/227694/20200411 ***///*** https://www.boletinoficial.gob.ar/detalleAviso/primera/228261/20200426"
Argentina,ARG,20200319,C6: Stay at home requirements,3,1,"Measures were put in place 19/03, renewed 31/03 until 12/04 and renewed 11/04 until 26/04.     https://web.archive.org/web/20200603185801/http://servicios.infoleg.gob.ar/infolegInternet/anexos/335000-339999/335741/norma.htm    https://web.archive.org/web/20200603184530/https://www.boletinoficial.gob.ar/suplementos/2020033101NS.pdf    https://web.archive.org/web/20200603184631/https://www.boletinoficial.gob.ar/detalleAviso/primera/227694/20200411  "
Argentina,ARG,20200320,C3: Cancel public events,2,1,"During the period of ""social, preventive and compulsory isolation"", no cultural, recreational, sporting, religious, or any other type of event involving the attendance of persons may take place. This period has been extended to the 12 of April.   https://web.archive.org/web/20200603183936/https://www.boletinoficial.gob.ar/detalleAviso/primera/227042/20200320    'It will run from March 20 to 31'"
Argentina,ARG,20200320,C7: Restrictions on internal movement,2,1,"""Circulation will be restricted both on national routes and within cities across the country. Transfers will only be allowed for exceptional reasons, in addition to all the circulation that will continue to guarantee essential production, supply, health services and all essential services.""    https://web.archive.org/web/20200603190454/https://www.casarosada.gob.ar/slider-principal/46782-carta-del-presidente-alberto-fernandez-a-los-argentinos?_ga=2.205707670.489548936.1584974819-1690027582.1584974819"
Argentina,ARG,20200323,C5: Close public transport,2,1,"See Art. 2. If Decree 297/2020 is extended, then also the provisions of this resolution. IMPORTANT! Decree 297/2020 has been extended until 10/05. Source: https://web.archive.org/web/20200412090106/https://www.boletinoficial.gob.ar/detalleAviso/primera/227132/20200325"
Argentina,ARG,20200323,E1: Income support,1,1,"495/5000  The Family Emergency Income (IFE) is established for informal workers and monotributistas, between 18 and 65 years old, with the highest degree of vulnerability, who in mid-April will collect $ 10,000 one-time, although it could be repeated in May if circumstances so require. merit.    The IFE joins the package of measures already in place that reach formal workers in the critical, informal, monotributistas, retired, pensioners, allowance beneficiaries and companies sectors.    https://web.archive.org/web/20200603182807/https://www.argentina.gob.ar/noticias/covid-19-el-gobierno-implementara-el-ingreso-familiar-de-emergencia-ife-para-aliviar-la"
Argentina,ARG,20200323,H1: Public information campaigns,2,1,"Argentina's Ministry of Health and Facebook launch a Facebook Messenger bot to answer questions about coronavirus: https://www.clarin.com/tecnologia/coronavirus-argentina-gobierno-facebook-lanzaron-robot-responder-dudas-virus-cuarentena_0_KHcbKNRjg.html"
Argentina,ARG,20200325,E2: Debt/contract relief,2,,"The services of electrical energy, running water, gas through networks, fixed and mobile telephony and Internet and cable television may not be suspended due to non-payment (up to 3 consecutive or alternate bills) during a period of 180 calendar days (from 25 March to September 21, 2020).  This measure includes both the MSMEs described in Resolution 173/2020, Worker Cooperatives or Recovered Companies registered in INAES and Public Entities that contribute to the preparation and distribution of food in the framework of the food emergency; as well as to the residential users detailed in Decree 311/2020, including monotributistas enrolled in a category whose annualized monthly income does not exceed 2 times the Minimum Vital and Mobile Salary.    https://web.archive.org/web/20200603182118/https://www.latinfinance.com/daily-briefs/2020/5/7/argentina-says-there-s-time-to-reach-a-debt-restructuring-deal    Webpage back-archived from previous note, but a copy of the page from 21st April 2020:   https://web.archive.org/web/20200421114329/https://www.argentina.gob.ar/produccion/medidas-pymes-covid  "
Argentina,ARG,20200326,H1: Public information campaigns,2,1,"Public campaign by the Ministry of Health with daily journals - https://www.argentina.gob.ar/coronavirus/informe-diario ; https://www.argentina.gob.ar/coronavirus/equipos-salud"
Argentina,ARG,20200330,H2: Testing policy,1,,"Change in case definition, not in testing framework. https://web.archive.org/web/20200408161447/https://www.argentina.gob.ar/salud/coronavirus-COVID-19/definicion-de-caso"
Argentina,ARG,20200331,H2: Testing policy,1,,"See page 5. https://web.archive.org/web/20200408152354/https://www.sadi.org.ar/boletines-y-reportes/item/913-actualizacion-epidemiologica-ministerio-de-salud-de-la-nacion"
